,Sector_score,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B.1,Money_Value,Score_MV,Risk_D,District_Loss,RiSk_E,History,Score,Inherent_Risk,CONTROL_RISK,Audit_Risk,Risk,MONEY_Marks
189,3.41,0.07,0.2,0.014,0.0,0.2,0.0,0.07,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.414,0.4,0.2828,0,2
191,2.72,2.46,0.6,1.476,6.72,0.4,2.688,9.18,5.0,0.2,0.0,0.2,0.0,2,0.4,0,3.0,5.564,0.4,1.1128,1,2
192,2.72,4.05,0.6,2.43,21.66,0.6,12.996,25.71,5.5,0.4,18.45,0.6,11.07,2,0.4,0,4.4,29.096,0.4,5.8192,1,6
193,2.72,2.81,0.6,1.686,4.6,0.2,0.92,7.41,5.0,0.2,8.44,0.4,3.376,2,0.4,0,2.6,7.382,0.4,1.4764,1,4
194,2.72,4.43,0.6,2.658,61.47,0.6,36.882,65.9,5.5,0.4,39.65,0.6,23.79,2,0.4,0,4.4,65.93,0.4,13.186,1,6
195,2.72,3.48,0.6,2.088,17.85,0.6,10.71,21.33,5.0,0.2,9.53,0.4,3.812,2,0.4,0,3.8,18.01,0.4,3.602,1,4
196,2.72,3.62,0.6,2.172,44.28,0.6,26.568,47.9,5.0,0.2,44.67,0.6,26.802,2,0.4,0,4.0,56.942,0.4,11.3884,1,6
197,2.72,4.34,0.6,2.604,24.13,0.6,14.478,28.47,5.0,0.2,3.42,0.2,0.684,2,0.4,0,3.6,19.166,0.4,3.8332,1,2
198,2.72,3.62,0.6,2.172,8.37,0.4,3.348,11.99,5.0,0.2,0.0,0.2,0.0,2,0.4,0,3.0,6.92,0.4,1.384,1,2
199,2.72,3.11,0.6,1.866,113.97,0.6,68.382,117.08,5.5,0.4,26.64,0.6,15.984,2,0.4,0,4.4,88.832,0.4,17.7664,1,6
200,2.72,1.65,0.4,0.66,20.86,0.6,12.516,22.51,5.0,0.2,16.91,0.6,10.146,2,0.4,0,3.8,24.722,0.4,4.9444,1,6
201,2.72,3.43,0.6,2.058,1.53,0.2,0.306,4.96,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.4,3.764,0.4,0.7528,0,2
202,2.72,3.84,0.6,2.304,98.67,0.6,59.202,102.51,5.0,0.2,12.9,0.6,7.74,2,0.4,0,4.0,70.646,0.4,14.1292,1,6
204,2.72,7.07,0.6,4.242,35.48,0.6,21.288,42.55,5.0,0.2,8.76,0.4,3.504,2,0.4,0,3.8,30.434,0.4,6.0868,1,4
205,2.72,3.26,0.6,1.956,5.55,0.4,2.22,8.81,5.0,0.2,0.21,0.2,0.042,6,1.2,0,3.4,6.418,1.2,3.8508,1,2
207,2.72,5.5,0.6,3.3,93.26,0.6,55.956,98.76,5.0,0.2,14.27,0.6,8.562,2,0.4,0,4.0,69.218,0.4,13.8436,1,6
209,2.72,3.5,0.6,2.1,16.09,0.6,9.654,19.59,5.0,0.2,5.03,0.4,2.012,2,0.4,0,3.8,15.166,0.4,3.0332,1,4
210,2.72,1.46,0.4,0.584,0.75,0.2,0.15,2.21,5.0,0.2,0.11,0.2,0.022,2,0.4,0,2.2,2.156,0.4,0.4312,0,2
211,2.72,4.6,0.6,2.76,54.99,0.6,32.994,59.59,5.0,0.2,14.1,0.6,8.46,2,0.4,0,4.0,45.614,0.4,9.1228,1,6
212,2.72,7.43,0.6,4.458,79.5,0.6,47.7,86.93,5.0,0.2,102.39,0.6,61.434,2,0.4,0,4.0,114.992,0.4,22.9984,1,6
213,2.72,3.51,0.6,2.106,52.89,0.6,31.734,56.4,5.0,0.2,4.26,0.2,0.852,2,0.4,0,3.6,36.092,0.4,7.2184,1,2
215,2.72,1.33,0.4,0.532,0.35,0.2,0.07,1.68,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,2.002,0.4,0.4004,0,2
216,2.72,5.45,0.6,3.27,71.09,0.6,42.654,76.54,5.5,0.4,59.18,0.6,35.508,2,0.4,0,4.4,84.032,0.4,16.8064,1,6
217,2.72,1.73,0.4,0.692,5.64,0.4,2.256,7.37,5.0,0.2,13.35,0.6,8.01,2,0.4,0,3.2,12.358,0.4,2.4716,1,6
220,2.72,2.41,0.6,1.446,5.28,0.4,2.112,7.69,5.0,0.2,8.95,0.4,3.58,4,0.8,0,3.4,8.938,0.8,3.5752,1,4
221,2.72,2.84,0.6,1.704,64.91,0.6,38.946,67.75,5.5,0.4,124.59,0.6,74.754,4,0.8,0,4.6,118.404,0.8,47.3616,1,6
222,2.72,1.75,0.4,0.7,0.57,0.2,0.114,2.32,5.0,0.2,0.0,0.2,0.0,4,0.8,0,2.4,2.614,0.8,1.0456,1,2
223,2.72,2.18,0.6,1.308,30.81,0.6,18.486,32.99,5.0,0.2,5.8,0.4,2.32,4,0.8,0,4.0,23.914,0.8,9.5656,1,4
225,2.72,4.43,0.6,2.658,51.32,0.6,30.792,55.75,5.5,0.4,145.97,0.6,87.582,2,0.4,0,4.4,123.632,0.4,24.7264,1,6
227,2.72,3.9,0.6,2.34,27.92,0.6,16.752,31.82,5.0,0.2,47.6,0.6,28.56,2,0.4,0,4.0,49.052,0.4,9.8104,1,6
228,2.72,2.19,0.6,1.314,0.68,0.2,0.136,2.87,5.0,0.2,28.4,0.6,17.04,2,0.4,0,2.8,19.89,0.4,3.978,1,6
229,2.72,1.56,0.4,0.624,14.64,0.4,5.856,16.2,5.0,0.2,25.97,0.6,15.582,2,0.4,0,3.2,23.462,0.4,4.6924,1,6
230,2.72,4.53,0.6,2.718,87.93,0.6,52.758,92.46,5.0,0.2,85.81,0.6,51.486,2,0.4,0,4.0,108.362,0.4,21.6724,1,6
231,2.72,4.97,0.6,2.982,42.19,0.6,25.314,47.16,5.5,0.4,45.37,0.6,27.222,2,0.4,0,4.4,58.118,0.4,11.6236,1,6
232,2.72,2.13,0.6,1.278,0.59,0.2,0.118,2.72,5.0,0.2,0.76,0.2,0.152,2,0.4,0,2.4,2.948,0.4,0.5896,0,2
233,2.72,3.66,0.6,2.196,15.47,0.6,9.282,19.13,5.0,0.2,1.43,0.2,0.286,2,0.4,0,3.6,13.164,0.4,2.6328,1,2
234,2.72,1.64,0.4,0.656,0.19,0.2,0.038,1.83,5.0,0.2,1.59,0.2,0.318,2,0.4,0,2.2,2.412,0.4,0.4824,0,2
235,2.72,4.9,0.6,2.94,98.71,0.6,59.226,103.61,5.5,0.4,82.99,0.6,49.794,2,0.4,1,4.6,114.96,0.8,45.984,1,6
236,2.72,5.68,0.6,3.408,67.38,0.6,40.428,73.06,5.0,0.2,86.7,0.6,52.02,2,0.4,1,4.2,97.656,0.8,39.0624,1,6
237,2.72,3.99,0.6,2.394,92.05,0.6,55.23,96.04,5.0,0.2,15.14,0.6,9.084,2,0.4,1,4.2,68.508,0.8,27.4032,1,6
238,2.72,3.47,0.6,2.082,47.07,0.6,28.242,50.54,5.0,0.2,31.38,0.6,18.828,2,0.4,0,4.0,50.552,0.4,10.1104,1,6
239,2.72,2.68,0.6,1.608,38.32,0.6,22.992,41.0,5.0,0.2,7.17,0.4,2.868,2,0.4,0,3.8,28.868,0.4,5.7736,1,4
240,2.72,2.13,0.6,1.278,42.64,0.6,25.584,44.77,5.0,0.2,18.24,0.6,10.944,2,0.4,0,4.0,39.206,0.4,7.8412,1,6
243,2.72,2.23,0.6,1.338,4.54,0.2,0.908,6.77,5.0,0.2,22.8,0.6,13.68,6,1.2,0,3.2,18.126,1.2,10.8756,1,6
244,2.72,2.0,0.6,1.2,0.32,0.2,0.064,2.32,5.0,0.2,5.37,0.4,2.148,2,0.4,0,2.6,4.812,0.4,0.9624,0,4
246,2.72,1.19,0.4,0.476,122.07,0.6,73.242,123.26,5.0,0.2,15.2,0.6,9.12,2,0.4,0,3.8,84.238,0.4,16.8476,1,6
248,2.72,1.14,0.4,0.456,0.0,0.2,0.0,1.14,5.0,0.2,0.71,0.2,0.142,2,0.4,0,2.2,1.998,0.4,0.3996,0,2
249,2.72,1.51,0.4,0.604,0.0,0.2,0.0,1.51,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,2.004,0.4,0.4008,0,2
250,2.72,1.13,0.4,0.452,0.0,0.2,0.0,1.13,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,1.852,0.4,0.3704,0,2
251,2.72,1.5,0.4,0.6,0.0,0.2,0.0,1.5,5.0,0.2,1.44,0.2,0.288,2,0.4,0,2.2,2.288,0.4,0.4576,0,2
252,2.72,0.96,0.2,0.192,0.0,0.2,0.0,0.96,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.592,0.4,0.3184,0,2
253,2.72,1.6,0.4,0.64,0.0,0.2,0.0,1.6,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,2.04,0.4,0.408,0,2
254,2.72,1.34,0.4,0.536,0.0,0.2,0.0,1.34,5.0,0.2,0.0,0.2,0.0,4,0.8,0,2.4,2.336,0.8,0.9344,0,2
255,2.72,1.6,0.4,0.64,0.0,0.2,0.0,1.6,5.0,0.2,0.06,0.2,0.012,2,0.4,0,2.2,2.052,0.4,0.4104,0,2
256,2.72,1.13,0.4,0.452,0.0,0.2,0.0,1.13,5.0,0.2,0.02,0.2,0.004,2,0.4,0,2.2,1.856,0.4,0.3712,0,2
257,2.72,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.4,0.4,0.28,0,2
258,2.72,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.4,0.4,0.28,0,2
259,2.72,0.77,0.2,0.154,0.0,0.2,0.0,0.77,5.0,0.2,4.6,0.2,0.92,2,0.4,0,2.0,2.474,0.4,0.4948,0,2
260,2.72,1.05,0.4,0.42,0.0,0.2,0.0,1.05,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,1.82,0.4,0.364,0,2
261,2.72,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.4,0.4,0.28,0,2
262,2.72,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,30.85,0.6,18.51,2,0.4,0,2.4,19.91,0.4,3.982,1,6
263,2.72,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.0,0.2,0.0,4,0.8,0,2.2,1.8,0.8,0.72,0,2
264,2.72,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.4,0.4,0.28,0,2
265,2.72,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.4,0.4,0.28,0,2
266,2.72,0.84,0.2,0.168,0.0,0.2,0.0,0.84,5.0,0.2,8.21,0.4,3.284,2,0.4,0,2.2,4.852,0.4,0.9704,0,4
267,2.72,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.4,0.4,0.28,0,2
268,2.72,0.85,0.2,0.17,0.0,0.2,0.0,0.85,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.57,0.4,0.314,0,2
269,2.72,0.0,0.2,0.0,0.28,0.2,0.056,0.28,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.456,0.4,0.2912,0,2
270,2.72,0.61,0.2,0.122,0.07,0.2,0.014,0.68,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.536,0.4,0.3072,0,2
271,2.72,0.0,0.2,0.0,0.62,0.2,0.124,0.62,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.524,0.4,0.3048,0,2
273,2.37,1.63,0.4,0.652,5.86,0.6,3.516,7.49,5.0,0.2,3.69,0.2,0.738,2,0.4,0,3.4,6.306,0.4,1.2612,1,2
275,2.37,2.29,0.6,1.374,2.64,0.6,1.584,4.93,5.0,0.2,3.08,0.2,0.616,2,0.4,0,3.6,4.974,0.4,0.9948,0,2
277,2.37,2.21,0.6,1.326,5.21,0.6,3.126,7.42,5.0,0.2,3.43,0.2,0.686,2,0.4,0,3.6,6.538,0.4,1.3076,1,2
278,2.37,2.22,0.6,1.332,6.23,0.6,3.738,8.45,5.0,0.2,0.89,0.2,0.178,2,0.4,0,3.6,6.648,0.4,1.3296,1,2
279,2.37,1.67,0.4,0.668,0.39,0.2,0.078,2.06,5.0,0.2,1.43,0.2,0.286,2,0.4,0,2.2,2.432,0.4,0.4864,0,2
280,2.37,2.59,0.6,1.554,0.66,0.2,0.132,3.25,5.0,0.2,1.28,0.2,0.256,2,0.4,0,2.4,3.342,0.4,0.6684,0,2
281,2.37,2.39,0.6,1.434,7.72,0.6,4.632,10.11,5.0,0.2,5.42,0.4,2.168,2,0.4,1,4.0,10.034,0.8,4.0136,1,4
282,2.37,3.42,0.6,2.052,10.55,0.6,6.33,13.97,5.0,0.2,6.96,0.4,2.784,2,0.4,0,3.8,12.566,0.4,2.5132,1,4
284,2.37,1.86,0.4,0.744,4.51,0.6,2.706,6.37,5.0,0.2,7.27,0.4,2.908,2,0.4,0,3.6,7.758,0.4,1.5516,1,4
285,2.37,1.9,0.4,0.76,7.97,0.6,4.782,9.87,5.0,0.2,8.6,0.4,3.44,2,0.4,1,3.8,10.782,0.8,4.3128,1,4
286,2.37,3.29,0.6,1.974,6.41,0.6,3.846,9.7,5.0,0.2,3.66,0.2,0.732,2,0.4,0,3.6,7.952,0.4,1.5904,1,2
287,2.37,2.6,0.6,1.56,1.14,0.4,0.456,3.74,5.0,0.2,8.76,0.4,3.504,2,0.4,1,3.4,7.32,0.8,2.928,1,4
288,2.37,3.81,0.6,2.286,11.52,0.6,6.912,15.33,5.0,0.2,3.25,0.2,0.65,4,0.8,0,3.8,11.648,0.8,4.6592,1,2
289,2.37,2.1,0.6,1.26,5.06,0.6,3.036,7.16,5.0,0.2,5.41,0.4,2.164,2,0.4,0,3.8,7.86,0.4,1.572,1,4
290,2.37,2.22,0.6,1.332,3.4,0.6,2.04,5.62,5.0,0.2,26.28,0.6,15.768,2,0.4,1,4.2,20.94,0.8,8.376,1,6
291,2.37,0.96,0.2,0.192,0.12,0.2,0.024,1.08,5.0,0.2,0.22,0.2,0.044,2,0.4,0,2.0,1.66,0.4,0.332,0,2
292,2.37,0.81,0.2,0.162,4.6,0.6,2.76,5.41,5.0,0.2,1.82,0.2,0.364,2,0.4,0,3.2,4.686,0.4,0.9372,0,2
293,2.37,1.25,0.4,0.5,0.02,0.2,0.004,1.27,5.0,0.2,0.82,0.2,0.164,2,0.4,0,2.2,2.068,0.4,0.4136,0,2
294,2.37,1.65,0.4,0.66,0.02,0.2,0.004,1.67,5.0,0.2,27.99,0.6,16.794,2,0.4,0,2.6,18.858,0.4,3.7716,1,6
295,2.37,1.65,0.4,0.66,0.02,0.2,0.004,1.67,5.0,0.2,2.47,0.2,0.494,2,0.4,0,2.2,2.558,0.4,0.5116,0,2
296,2.37,2.13,0.6,1.278,0.11,0.2,0.022,2.24,5.0,0.2,7.54,0.4,3.016,2,0.4,0,2.6,5.716,0.4,1.1432,1,4
297,2.37,0.44,0.2,0.088,0.02,0.2,0.004,0.46,5.0,0.2,27.1,0.6,16.26,6,1.2,0,2.8,18.552,1.2,11.1312,1,6
298,2.37,1.31,0.4,0.524,0.12,0.2,0.024,1.43,5.5,0.4,0.0,0.2,0.0,6,1.2,0,3.0,3.948,1.2,2.3688,1,2
299,2.37,0.39,0.2,0.078,0.14,0.2,0.028,0.53,5.0,0.2,0.58,0.2,0.116,2,0.4,0,2.0,1.622,0.4,0.3244,0,2
300,2.37,1.0,0.4,0.4,1.1,0.4,0.44,2.1,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.8,2.24,0.4,0.448,0,2
301,2.37,0.42,0.2,0.084,0.27,0.2,0.054,0.69,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.538,0.4,0.3076,0,2
302,2.37,1.07,0.4,0.428,0.59,0.2,0.118,1.66,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,1.946,0.4,0.3892,0,2
303,2.37,1.29,0.4,0.516,0.25,0.2,0.05,1.54,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,1.966,0.4,0.3932,0,2
304,2.37,0.02,0.2,0.004,0.87,0.2,0.174,0.89,5.0,0.2,0.04,0.2,0.008,2,0.4,0,2.0,1.586,0.4,0.3172,0,2
305,2.37,1.46,0.4,0.584,0.55,0.2,0.11,2.01,5.0,0.2,0.67,0.2,0.134,2,0.4,0,2.2,2.228,0.4,0.4456,0,2
306,2.37,0.84,0.2,0.168,0.06,0.2,0.012,0.9,5.0,0.2,0.72,0.2,0.144,2,0.4,0,2.0,1.724,0.4,0.3448,0,2
307,2.37,0.66,0.2,0.132,1.37,0.4,0.548,2.03,5.0,0.2,0.84,0.2,0.168,4,0.8,0,2.8,2.648,0.8,1.0592,1,2
308,2.37,0.53,0.2,0.106,5.4,0.6,3.24,5.93,5.0,0.2,0.72,0.2,0.144,2,0.4,0,3.2,4.89,0.4,0.978,0,2
309,2.37,0.39,0.2,0.078,0.47,0.2,0.094,0.86,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.572,0.4,0.3144,0,2
310,2.37,0.51,0.2,0.102,0.47,0.2,0.094,0.98,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.596,0.4,0.3192,0,2
311,2.37,0.47,0.2,0.094,0.29,0.2,0.058,0.76,5.0,0.2,0.07,0.2,0.014,2,0.4,0,2.0,1.566,0.4,0.3132,0,2
312,2.37,3.35,0.6,2.01,0.99,0.2,0.198,4.34,5.0,0.2,0.12,0.2,0.024,2,0.4,0,2.4,3.632,0.4,0.7264,0,2
313,2.37,0.32,0.2,0.064,0.49,0.2,0.098,0.81,5.0,0.2,6.73,0.4,2.692,6,1.2,0,2.6,5.054,1.2,3.0324,1,4
314,2.37,0.51,0.2,0.102,0.0,0.2,0.0,0.51,5.0,0.2,0.0,0.2,0.0,6,1.2,0,2.4,2.302,1.2,1.3812,1,2
315,2.37,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.05,0.2,0.01,2,0.4,0,2.0,1.41,0.4,0.282,0,2
316,2.37,0.31,0.2,0.062,0.69,0.2,0.138,1.0,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.6,0.4,0.32,0,2
317,2.37,0.61,0.2,0.122,1.54,0.4,0.616,2.15,5.0,0.2,0.57,0.2,0.114,2,0.4,0,2.6,2.252,0.4,0.4504,0,2
318,2.37,0.26,0.2,0.052,0.17,0.2,0.034,0.43,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.486,0.4,0.2972,0,2
319,2.37,0.73,0.2,0.146,0.05,0.2,0.01,0.78,5.0,0.2,6.14,0.4,2.456,6,1.2,0,2.6,4.812,1.2,2.8872,1,4
320,2.37,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.0,0.2,0.0,6,1.2,0,2.4,2.2,1.2,1.32,1,2
321,2.37,1.27,0.4,0.508,1.01,0.4,0.404,2.28,5.0,0.2,1.15,0.2,0.23,2,0.4,0,2.8,2.542,0.4,0.5084,0,2
322,2.37,1.62,0.4,0.648,0.49,0.2,0.098,2.11,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,2.146,0.4,0.4292,0,2
323,2.37,1.54,0.4,0.616,0.46,0.2,0.092,2.0,5.0,0.2,0.57,0.2,0.114,2,0.4,0,2.2,2.222,0.4,0.4444,0,2
324,2.37,2.18,0.6,1.308,0.93,0.2,0.186,3.11,5.0,0.2,0.0,0.2,0.0,6,1.2,0,2.8,3.694,1.2,2.2164,1,2
325,2.37,7.59,0.6,4.554,1.47,0.4,0.588,9.06,5.5,0.4,36.29,0.6,21.774,6,1.2,0,4.2,30.316,1.2,18.1896,1,6
326,2.37,0.76,0.2,0.152,0.34,0.2,0.068,1.1,5.0,0.2,0.0,0.2,0.0,6,1.2,0,2.4,2.42,1.2,1.452,1,2
327,2.37,0.38,0.2,0.076,0.85,0.2,0.17,1.23,5.0,0.2,0.04,0.2,0.008,2,0.4,0,2.0,1.654,0.4,0.3308,0,2
328,2.37,1.29,0.4,0.516,0.13,0.2,0.026,1.42,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,1.942,0.4,0.3884,0,2
329,2.37,1.99,0.4,0.796,0.63,0.2,0.126,2.62,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,2.322,0.4,0.4644,0,2
330,2.37,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.4,0.4,0.28,0,2
331,2.37,0.02,0.2,0.004,0.05,0.2,0.01,0.07,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.414,0.4,0.2828,0,2
332,2.37,0.14,0.2,0.028,0.08,0.2,0.016,0.22,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.444,0.4,0.2888,0,2
333,2.37,0.09,0.2,0.018,0.0,0.2,0.0,0.09,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.418,0.4,0.2836,0,2
334,2.37,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.4,0.4,0.28,0,2
335,2.37,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.4,0.4,0.28,0,2
336,2.37,0.01,0.2,0.002,0.007,0.2,0.0014,0.017,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.4034,0.4,0.28068,0,2
337,2.37,0.17,0.2,0.034,0.04,0.2,0.008,0.21,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.442,0.4,0.2884,0,2
338,2.37,1.66,0.4,0.664,0.83,0.2,0.166,2.49,5.0,0.2,0.31,0.2,0.062,6,1.2,0,2.6,3.092,1.2,1.8552,1,2
339,2.37,0.5,0.2,0.1,0.04,0.2,0.008,0.54,5.0,0.2,0.0,0.2,0.0,6,1.2,0,2.4,2.308,1.2,1.3848,1,2
340,2.37,0.9,0.2,0.18,0.29,0.2,0.058,1.19,5.0,0.2,1.22,0.2,0.244,6,1.2,0,2.4,2.682,1.2,1.6092,1,2
341,2.37,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.23,0.2,0.046,6,1.2,0,2.4,2.246,1.2,1.3476,1,2
343,1.99,0.58,0.2,0.116,0.0,0.2,0.0,0.58,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.516,0.4,0.3032,0,2
344,1.99,1.52,0.4,0.608,0.0,0.2,0.0,1.52,5.0,0.2,6.96,0.4,2.784,2,0.4,0,2.4,4.792,0.4,0.9584,0,4
345,1.99,0.9,0.2,0.18,0.0,0.2,0.0,0.9,5.0,0.2,1.95,0.2,0.39,2,0.4,0,2.0,1.97,0.4,0.394,0,2
346,1.99,1.19,0.4,0.476,0.0,0.2,0.0,1.19,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,1.876,0.4,0.3752,0,2
347,1.99,0.53,0.2,0.106,0.0,0.2,0.0,0.53,5.0,0.2,2.33,0.2,0.466,2,0.4,0,2.0,1.972,0.4,0.3944,0,2
348,1.99,0.93,0.2,0.186,0.0,0.2,0.0,0.93,5.0,0.2,0.11,0.2,0.022,2,0.4,0,2.0,1.608,0.4,0.3216,0,2
349,1.99,1.89,0.4,0.756,0.0,0.2,0.0,1.89,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,2.156,0.4,0.4312,0,2
350,1.99,1.71,0.4,0.684,0.0,0.2,0.0,1.71,5.0,0.2,0.09,0.2,0.018,2,0.4,0,2.2,2.102,0.4,0.4204,0,2
351,1.99,0.3,0.2,0.06,0.0,0.2,0.0,0.3,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.46,0.4,0.292,0,2
352,1.99,0.76,0.2,0.152,0.0,0.2,0.0,0.76,5.0,0.2,7.48,0.4,2.992,2,0.4,0,2.2,4.544,0.4,0.9088,0,4
353,1.99,0.96,0.2,0.192,0.0,0.2,0.0,0.96,5.0,0.2,9.45,0.4,3.78,2,0.4,0,2.2,5.372,0.4,1.0744,1,4
354,1.99,1.26,0.4,0.504,0.0,0.2,0.0,1.26,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,1.904,0.4,0.3808,0,2
355,1.99,0.55,0.2,0.11,0.0,0.2,0.0,0.55,5.0,0.2,0.67,0.2,0.134,2,0.4,0,2.0,1.644,0.4,0.3288,0,2
356,1.99,0.29,0.2,0.058,0.0,0.2,0.0,0.29,5.0,0.2,0.06,0.2,0.012,2,0.4,0,2.0,1.47,0.4,0.294,0,2
357,1.99,1.27,0.4,0.508,0.0,0.2,0.0,1.27,5.0,0.2,2.77,0.2,0.554,2,0.4,0,2.2,2.462,0.4,0.4924,0,2
358,1.99,1.34,0.4,0.536,0.0,0.2,0.0,1.34,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,1.936,0.4,0.3872,0,2
359,1.99,0.56,0.2,0.112,0.0,0.2,0.0,0.56,5.0,0.2,1.75,0.2,0.35,2,0.4,0,2.0,1.862,0.4,0.3724,0,2
360,1.99,0.86,0.2,0.172,0.0,0.2,0.0,0.86,5.0,0.2,0.0,0.2,0.0,6,1.2,0,2.4,2.372,1.2,1.4232,1,2
361,1.99,1.62,0.4,0.648,0.0,0.2,0.0,1.62,5.0,0.2,0.0,0.2,0.0,6,1.2,0,2.6,2.848,1.2,1.7088,1,2
362,1.99,3.02,0.6,1.812,0.0,0.2,0.0,3.02,5.0,0.2,0.0,0.2,0.0,6,1.2,0,2.8,4.012,1.2,2.4072,1,2
363,1.99,0.59,0.2,0.118,0.0,0.2,0.0,0.59,5.0,0.2,0.0,0.2,0.0,6,1.2,0,2.4,2.318,1.2,1.3908,1,2
364,1.99,1.1,0.4,0.44,0.0,0.2,0.0,1.1,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,1.84,0.4,0.368,0,2
365,1.99,1.03,0.4,0.412,0.0,0.2,0.0,1.03,5.0,0.2,27.28,0.6,16.368,2,0.4,0,2.6,18.18,0.4,3.636,1,6
366,1.99,0.66,0.2,0.132,0.0,0.2,0.0,0.66,5.0,0.2,0.73,0.2,0.146,2,0.4,0,2.0,1.678,0.4,0.3356,0,2
367,1.99,0.48,0.2,0.096,0.0,0.2,0.0,0.48,5.0,0.2,0.47,0.2,0.094,2,0.4,0,2.0,1.59,0.4,0.318,0,2
368,1.99,1.27,0.4,0.508,0.0,0.2,0.0,1.27,5.0,0.2,175.9,0.6,105.54,2,0.4,0,2.6,107.448,0.4,21.4896,1,6
369,1.99,0.43,0.2,0.086,0.0,0.2,0.0,0.43,5.0,0.2,13.54,0.6,8.124,2,0.4,0,2.4,9.61,0.4,1.922,1,6
370,1.99,1.65,0.4,0.66,0.0,0.2,0.0,1.65,5.0,0.2,0.01,0.2,0.002,2,0.4,0,2.2,2.062,0.4,0.4124,0,2
371,1.99,1.4,0.4,0.56,0.0,0.2,0.0,1.4,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.2,1.96,0.4,0.392,0,2
372,1.99,1.14,0.4,0.456,0.0,0.2,0.0,1.14,5.0,0.2,41.82,0.6,25.092,2,0.4,0,2.6,26.948,0.4,5.3896,1,6
373,1.99,0.45,0.2,0.09,0.0,0.2,0.0,0.45,5.0,0.2,0.0,0.2,0.0,2,0.4,0,2.0,1.49,0.4,0.298,0,2
